Data,Valor,Identificador,Descrição
01/01/2022,-756.34,4d5e6cfbd2983b7408ae04792c62b364,Pagamento de fatura
01/01/2022,629.04,056effa69ada88d31e8fd9e31a665244,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
02/01/2022,447.36,90a4ca41a3fd13d78e1af0e8c03533ae,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
03/01/2022,685.33,7dd772fc41debf53cc6677fc783529ed,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
03/01/2022,275.76,7a02f7e293ef73f994469e3efb30a38a,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
05/01/2022,504.86,eaac7917f74b40dff97b44bd192aa486,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
05/01/2022,396.19,0a6e2f5a80374f294df83ebffd9d0239,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
06/01/2022,580.82,8596f9dfd581e868abb617b42d79cf95,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
06/01/2022,402.71,a253ba33c75accc5f372ca01e9c1e554,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
06/01/2022,862.2,6c0ad78cd6a8b0189b883d707a6f991b,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
07/01/2022,88.96,66af2fc06f67130e4a7b4bd3968b1785,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
08/01/2022,851.49,3939ba267108017a16fa93ad9bcc8296,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
09/01/2022,924.22,f47d3a6ce9d15d913a9d67fcf6bf6b5a,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
09/01/2022,955.18,95d21a827f2767977b9313d122648552,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
10/01/2022,789.83,305a3c2ffc582e029a567cc016490809,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
10/01/2022,203.82,d74ff86bfe11930d662ff4cdc322703f,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
11/01/2022,19.11,a4c4f0756eebcfdbc8fafaa48e55756b,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
12/01/2022,205.02,a582bb2f228c4ed89815a84a1337809d,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
15/01/2022,423.27,b6082095cdcd17a02784bb178d4ef136,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
15/01/2022,56.37,10fff7bc3aa4e3f9c5e6a2b20db82d9a,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
15/01/2022,699.18,52b183dd8bc96a1b5d2af674d1bbb3ea,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
17/01/2022,111.43,86d6bb957fd09b10ba33a0e60dbb4694,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
19/01/2022,818.4,b3d45c042fcda8008c01ab837a17d39c,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
19/01/2022,524.11,a2203637fa3b68081e9212dcd5b8fbdd,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
22/01/2022,606.09,115bcbe3900ac4cd24f7a37d47c59000,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
22/01/2022,87.44,fe2389ba64e83407a8705259c87fd538,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
22/01/2022,270.49,9bb18f702b379c4c0440b14657d4644b,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
22/01/2022,137.35,c7e24e11004606b9fa25a9891c47c08b,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
23/01/2022,133.01,5e714a5ff1eb6c8d006eb60050392b84,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
23/01/2022,74.63,5ffd4b2df84adc2e3465eb500b87dd09,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
23/01/2022,937.06,4341639237218b4afccd6634aaff21f6,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
23/01/2022,606.72,62cc77f052152daf0c66bdb9cd8b1ed3,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
25/01/2022,914.55,4b641347e5c7b4050cb1395a98b23078,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
25/01/2022,154.49,4d310c5959c7be2991698fa098f8628d,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
26/01/2022,825.61,2c069620504aba10fc7b629a0bac82a6,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
26/01/2022,720.26,798f75089292eadbb9cf47618016ce04,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
26/01/2022,633.8,b22a3cb5e49831ea59a5982319b88fcc,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
27/01/2022,722.31,9f7d94bf38d6639fcc4e0a5e1c8fb01f,Transferência Recebida - ABC - •••.•••.•••-•• - NU PAGAMENTOS - IP (0260) Agência: 1 Conta: 12345678-9
28/01/2022,396.41,eb98230d26bea7ff17ef69d05464b3a1,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
30/01/2022,576.26,2bf89c0822659b6d1897f3358a02fc84,Transferência enviada pelo Pix - ABC - ••.•••.•••/••••-•• - NUPAY IP LTDA. Agência: 1 Conta: 12345678-9
